from_date,to_date,pm25,pm10,no,nh3,no2,nox,so2,co,ozone,bp,wind_speed,air_temp,humidity,rainfall
2018-09-22 17:00:00,2018-09-22 18:00:00,29.840000000000003,66.4075,10.769375,25.1864,26.167575757575758,23.4578125,12.005357142857141,0.7578125,23.831470588235295,953.1095652173914,2.1844,26.479999999999997,83.52692307692307,0.0
2018-09-22 18:00:00,2018-09-22 19:00:00,28.885714285714286,69.805,9.6203125,24.4208,28.440303030303028,23.4140625,12.430714285714286,0.824375,20.441176470588236,953.5565217391304,1.9856,26.28909090909091,83.46076923076923,0.0
2018-09-22 19:00:00,2018-09-22 20:00:00,30.52428571428571,71.69,11.478064516129033,24.497600000000002,31.03424242424242,25.8953125,12.461428571428572,0.8740625,17.654411764705884,954.1395652173912,1.786,26.245,83.83538461538461,0.0
2018-09-22 20:00:00,2018-09-22 21:00:00,33.81914285714286,77.0896875,9.886666666666667,23.827199999999998,28.068484848484847,22.9659375,12.039642857142857,0.8421875,19.310588235294116,954.6982608695653,2.0944,26.396818181818183,83.60615384615386,0.0
2018-09-22 21:00:00,2018-09-22 22:00:00,33.75,73.234375,10.121290322580645,23.641199999999998,26.32090909090909,22.63625,11.583214285714286,0.7715625,19.30235294117647,954.9769565217392,1.9184,26.101363636363637,86.27,0.0
2018-09-22 22:00:00,2018-09-22 23:00:00,34.45742857142857,65.27612903225807,8.9965625,23.2852,23.708181818181817,20.8640625,11.52357142857143,0.7303125,20.578823529411768,954.8943478260869,2.0380000000000003,25.83681818181818,88.11576923076925,0.0019047619047619048
2018-09-22 23:00:00,2018-09-23 00:00:00,31.74857142857143,57.991290322580646,8.101875,23.3988,22.256363636363638,19.5965625,12.929642857142856,0.68,19.30606060606061,954.6726086956522,2.16,25.74318181818182,88.09192307692307,0.0
2018-09-23 00:00:00,2018-09-23 01:00:00,32.10735294117647,55.175483870967746,6.7619354838709675,23.871666666666666,18.340625,16.191935483870967,12.765925925925925,0.6112903225806451,28.064117647058822,954.4669565217392,2.6807999999999996,25.560909090909092,87.83692307692309,0.005714285714285714
2018-09-23 01:00:00,2018-09-23 02:00:00,29.026470588235295,46.72129032258064,6.574838709677419,24.293333333333333,16.7171875,15.051612903225807,13.549629629629628,0.5658064516129032,26.4496875,954.304347826087,2.51,25.34,88.01846153846154,0.005454545454545454
2018-09-23 02:00:00,2018-09-23 03:00:00,23.95057142857143,40.28866666666667,6.711724137931034,22.171363636363637,17.005,14.889999999999999,13.806521739130435,0.5640740740740741,25.727941176470587,953.9991304347826,2.2279166666666668,25.152272727272727,88.26884615384614,0.005454545454545454
